no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets,loan_to_income_ratio,annual_payment,debt_service_ratio,assets_to_loan_ratio,income_per_dependent
2,1,1,500000,1600000,4,663,1300000.0,100000,1300000,700000,1,3400000.0,3.1999936000128,400000.0,0.7999984000032,2.1249986718758302,166666.66666666666
4,0,1,2900000,9400000,14,780,2900000.0,2800000,6700000,4300000,1,16700000.0,3.2413781926282095,671428.5714285715,0.23152701375915782,1.7765955556813238,580000.0
2,1,0,2700000,10300000,10,736,1000000.0,0,6200000,3300000,1,10500000.0,3.8148134019209623,1030000.0,0.38148134019209623,1.0194173767555945,900000.0
5,1,0,6300000,14600000,12,652,10300000.0,3500000,23500000,5900000,1,43200000.0,2.317459949609532,1216666.6666666667,0.19312166246746099,2.95890390692439,1050000.0
2,1,0,5000000,19400000,12,315,9500000.0,1600000,18000000,6100000,0,35200000.0,3.879999224000155,1616666.6666666667,0.3233332686666796,1.8144328961632528,1666666.6666666667
4,1,0,5800000,14000000,16,530,3800000.0,11300000,22200000,5400000,0,42700000.0,2.4137926872771227,875000.0,0.15086204295482017,3.049999782142873,1160000.0
4,1,1,6500000,25700000,18,311,13100000.0,1700000,19500000,8500000,0,42800000.0,3.9538455455622237,1427777.7777777778,0.21965808586456798,1.6653695850050745,1300000.0
0,0,1,500000,1400000,2,551,900000.0,600000,1100000,300000,1,2900000.0,2.7999944000112,700000.0,1.3999972000056,2.0714270918377915,500000.0
0,0,0,4900000,9800000,16,324,3800000.0,8700000,10000000,3300000,0,25800000.0,1.999999591836818,612500.0,0.12499997448980113,2.6326527925864496,4900000.0
5,0,0,3100000,9500000,20,514,7900000.0,3100000,6600000,2600000,0,20200000.0,3.0645151404789868,475000.0,0.15322575702394936,2.126315565650993,516666.6666666667
4,1,0,8200000,28100000,12,696,11500000.0,10600000,25300000,7200000,1,54600000.0,3.4268288503867255,2341666.6666666665,0.28556907086556044,1.9430604290725826,1640000.0
4,0,1,2400000,5600000,4,662,4500000.0,4200000,5400000,2500000,1,16600000.0,2.333332361111516,1400000.0,0.583333090277879,2.964285184949074,480000.0
5,0,1,7000000,24000000,6,336,2300000.0,11900000,27500000,9700000,0,51400000.0,3.42857093877558,4000000.0,0.5714284897959301,2.141666577430559,1166666.6666666667
3,0,1,9000000,31500000,10,850,21800000.0,12400000,33700000,8000000,1,75900000.0,3.4999996111111544,3150000.0,0.3499999611111154,2.4095237330309924,2250000.0
2,0,0,9800000,25300000,12,313,20200000.0,5200000,25500000,9300000,0,60200000.0,2.581632389629348,2108333.3333333335,0.21513603246911234,2.379446546266935,3266666.6666666665
2,1,0,5700000,12000000,6,363,3600000.0,7400000,21700000,4300000,0,37000000.0,2.105262788550388,2000000.0,0.35087713142506466,3.0833330763889104,1900000.0
1,0,1,800000,1600000,10,436,700000.0,200000,2200000,1000000,0,4100000.0,1.999997500003125,160000.0,0.1999997500003125,2.562498398438501,400000.0
5,0,1,8400000,22000000,2,830,3800000.0,3900000,19900000,5400000,1,33000000.0,2.619047307256273,11000000.0,1.3095236536281365,1.499999931818185,1400000.0
3,1,0,4900000,11900000,8,612,9700000.0,1200000,19000000,5800000,1,35700000.0,2.4285709329447074,1487500.0,0.3035713666180884,2.9999997478991807,1225000.0
2,1,1,1700000,3400000,8,691,2700000.0,2800000,6000000,900000,1,12400000.0,1.9999988235301038,425000.0,0.24999985294126298,3.6470577508653674,566666.6666666666
3,0,0,1600000,6200000,18,636,3400000.0,700000,5300000,1400000,1,10800000.0,3.874997578126514,344444.44444444444,0.21527764322925075,1.741935202913677,400000.0
5,1,1,8000000,27200000,6,348,6400000.0,300000,16700000,7100000,0,30500000.0,3.399999575000053,4533333.333333333,0.5666665958333421,1.1213234881866365,1333333.3333333333
5,1,0,3600000,7700000,16,830,7000000.0,1300000,10000000,2900000,1,21200000.0,2.1388882947532513,481250.0,0.1336805184220782,2.7532463956822864,600000.0
3,0,1,1500000,5100000,6,352,100000.0,200000,5600000,900000,0,6800000.0,3.3999977333348443,850000.0,0.5666662888891407,1.3333330718954761,375000.0
1,1,0,7800000,18100000,2,712,8600000.0,11200000,21700000,9000000,1,50500000.0,2.320512523011215,9050000.0,1.1602562615056076,2.7900550944720943,3900000.0
2,0,0,9100000,24900000,16,822,22300000.0,12100000,31000000,5200000,1,70600000.0,2.7362634355754465,1556250.0,0.1710164647234654,2.835341251592721,3033333.3333333335
3,1,0,1400000,3400000,6,540,200000.0,1500000,3900000,800000,0,6400000.0,2.42856969387879,566666.6666666666,0.404761615646465,1.8823523875434154,350000.0
2,1,1,800000,2300000,12,342,2200000.0,1300000,1800000,800000,0,6100000.0,2.874996406254492,191666.66666666666,0.239583033854541,2.6521727599248868,266666.6666666667
5,1,0,6500000,13400000,18,787,18200000.0,300000,16200000,5400000,1,40100000.0,2.061538144378747,744444.4444444445,0.1145298969099304,2.9925370901091726,1083333.3333333333
4,1,0,8000000,27800000,16,331,13000000.0,6300000,21400000,10900000,0,51600000.0,3.4749995656250543,1737500.0,0.2171874728515659,1.856115041146941,1600000.0
3,0,1,4200000,14600000,6,679,2400000.0,6900000,8700000,4900000,1,22900000.0,3.476189648526274,2433333.3333333335,0.5793649414210458,1.568493043253901,1050000.0
1,1,1,4900000,19100000,14,677,5400000.0,9100000,17700000,6500000,1,38700000.0,3.8979583881717574,1364285.7142857143,0.27842559915512555,2.0261779043885912,2450000.0
3,0,0,5500000,20500000,12,634,800000.0,8600000,18500000,8200000,1,36100000.0,3.7272720495869,1708333.3333333333,0.31060600413224165,1.7609755238548526,1375000.0
1,0,1,9500000,19100000,16,662,100000.0,10500000,37700000,11700000,1,60000000.0,2.0105261041551468,1193750.0,0.12565788150969667,3.1413610920753356,4750000.0
4,1,0,7300000,25400000,16,502,500000.0,1800000,20500000,10500000,0,33300000.0,3.479451578157318,1587500.0,0.21746572363483238,1.311023570432143,1460000.0
2,1,0,8700000,24700000,10,435,6800000.0,3500000,21800000,11300000,0,43400000.0,2.839080133439065,2470000.0,0.28390801334390653,1.7570849491058724,2900000.0
5,0,0,3800000,7600000,4,689,8700000.0,100000,9300000,3400000,1,21500000.0,1.999999473684349,1900000.0,0.49999986842108723,2.828946996191185,633333.3333333334
1,0,1,8400000,23000000,12,657,15400000.0,14800000,31900000,8200000,1,70300000.0,2.738094912131558,1916666.6666666667,0.2281745760109632,3.0565216062381912,4200000.0
2,1,1,5100000,19700000,20,590,7400000.0,9300000,19400000,3400000,1,39500000.0,3.8627443406383644,985000.0,0.19313721703191822,2.00507604035147,1700000.0
5,0,0,6700000,24500000,12,818,1200000.0,5600000,16300000,6200000,1,29300000.0,3.6567158721319593,2041666.6666666667,0.3047263226776633,1.1959183185339461,1116666.6666666667
2,0,0,4300000,10600000,18,431,2100000.0,1500000,9300000,5200000,0,18100000.0,2.465115705787045,588888.8888888889,0.13695087254372473,1.7075470087219804,1433333.3333333333
5,1,1,9300000,30500000,18,841,19300000.0,10300000,34600000,8700000,1,72900000.0,3.279569539831232,1694444.4444444445,0.1821983077684018,2.3901638560602017,1550000.0
1,1,0,7400000,18400000,20,421,18500000.0,9100000,17500000,4100000,0,49200000.0,2.4864861504748443,920000.0,0.12432430752374223,2.6739128981569076,3700000.0
4,0,1,5500000,18200000,16,797,5700000.0,4900000,18600000,4800000,1,34000000.0,3.309090307438126,1137500.0,0.20681814421488287,1.8681317654872656,1100000.0
2,0,0,8500000,18900000,18,478,23800000.0,16300000,25900000,11400000,0,77400000.0,2.223529150173041,1050000.0,0.12352939723183562,4.095237878558843,2833333.3333333335
3,0,1,9600000,30500000,18,669,4700000.0,1900000,26500000,9300000,1,42400000.0,3.1770830023871874,1694444.4444444445,0.17650461124373262,1.3901638888470855,2400000.0
5,0,1,8800000,28900000,6,365,24400000.0,8600000,27400000,4700000,0,65100000.0,3.2840905358988026,4816666.666666667,0.5473484226498004,2.252595077764876,1466666.6666666667
3,0,1,3300000,7500000,20,586,1600000.0,5600000,10500000,2900000,1,20600000.0,2.2727265840222475,375000.0,0.11363632920111236,2.746666300444493,825000.0
4,1,1,3900000,12300000,18,784,7600000.0,6900000,13100000,2800000,1,30400000.0,3.15384534516786,683333.3333333334,0.17521363028710335,2.471544514508576,780000.0
1,1,0,4100000,10300000,12,364,9500000.0,6100000,14900000,2800000,0,33300000.0,2.5121945092208513,858333.3333333334,0.20934954243507095,3.2330093948534566,2050000.0
3,0,0,8300000,29100000,10,715,6100000.0,11900000,24100000,11900000,1,54000000.0,3.5060236739730515,2910000.0,0.35060236739730516,1.8556700393240537,2075000.0
0,0,1,2700000,10100000,20,693,200000.0,1700000,5900000,1400000,0,9200000.0,3.74073935528172,505000.0,0.18703696776408602,0.9108909989216832,2700000.0
4,1,0,5600000,12400000,4,777,5500000.0,3100000,11800000,5500000,1,25900000.0,2.2142853188776215,3100000.0,0.5535713297194054,2.0887095089750396,1120000.0
0,1,0,1900000,5000000,12,312,4000000.0,2800000,4900000,2400000,0,14100000.0,2.6315775623275988,416666.6666666667,0.21929813019396657,2.8199994360001126,1900000.0
4,0,1,500000,1500000,20,340,100000.0,200000,1900000,600000,0,2800000.0,2.999994000012,75000.0,0.1499997000006,1.8666654222230519,100000.0
5,1,1,5300000,18600000,4,386,2700000.0,9700000,11900000,4200000,1,28500000.0,3.5094333001069247,4650000.0,0.8773583250267312,1.5322579821366675,883333.3333333334
5,0,0,7000000,18300000,4,418,18400000.0,11700000,21500000,7600000,0,59200000.0,2.6142853408163798,4575000.0,0.6535713352040949,3.2349725008211747,1166666.6666666667
3,0,1,5800000,16700000,16,735,3900000.0,9400000,12600000,5600000,1,31500000.0,2.8793098483948536,1043750.0,0.17995686552467835,1.8862274319624293,1450000.0
2,0,0,2600000,8400000,6,494,6500000.0,3800000,5600000,2000000,0,17900000.0,3.2307679881661584,1400000.0,0.5384613313610264,2.1309521272676037,866666.6666666666
2,0,0,1900000,6500000,18,671,600000.0,2500000,4800000,1100000,1,9000000.0,3.4210508310258785,361111.1111111111,0.1900583795014377,1.384615171597666,633333.3333333334
4,1,0,5700000,14800000,16,697,14300000.0,7800000,12900000,6300000,1,41300000.0,2.5964907725454784,925000.0,0.1622806732840924,2.7905403519905168,1140000.0
0,1,0,9000000,33500000,8,801,11600000.0,8900000,35400000,11100000,1,67000000.0,3.722221808642021,4187500.0,0.46527772608025264,1.9999999402985091,9000000.0
2,0,0,8500000,29400000,12,576,17600000.0,5600000,25200000,9000000,1,57400000.0,3.4588231224913972,2450000.0,0.2882352602076165,1.9523808859734393,2833333.3333333335
0,0,0,700000,1400000,14,639,1900000.0,700000,2400000,900000,1,5900000.0,1.9999971428612244,100000.0,0.14285693877580175,4.214282704083783,700000.0
4,1,0,3500000,8900000,4,470,1300000.0,2200000,12300000,2000000,0,17800000.0,2.542856416326738,2225000.0,0.6357141040816845,1.9999997752809242,700000.0
0,0,0,8800000,31200000,4,826,2900000.0,500000,33300000,8600000,1,45300000.0,3.545454142562029,7800000.0,0.8863635356405073,1.4519230303870823,8800000.0
2,0,1,9900000,21200000,16,363,25500000.0,11400000,26600000,6800000,0,70300000.0,2.1414139251097044,1325000.0,0.13383837031935653,3.3160375794321895,3300000.0
3,1,0,3600000,8600000,20,613,9400000.0,300000,10300000,3300000,1,23300000.0,2.3888882253088264,430000.0,0.11944441126544132,2.7093020105462777,900000.0
3,0,1,3000000,8200000,16,713,5300000.0,5800000,11000000,3400000,1,25500000.0,2.7333324222225257,512500.0,0.17083327638890786,3.1097557183224733,750000.0
2,1,0,6800000,21200000,16,439,17100000.0,4700000,23300000,3600000,0,48700000.0,3.117646600346088,1325000.0,0.1948529125216305,2.2971697029636933,2266666.6666666665
5,0,1,1100000,3800000,18,387,1300000.0,1200000,3800000,1600000,0,7900000.0,3.454542314052442,211111.11111111112,0.1919190174473579,2.078946821329784,183333.33333333334
1,0,1,8700000,28300000,8,402,20400000.0,13600000,27900000,10200000,0,72100000.0,3.2528731893249208,3537500.0,0.4066091486656151,2.54770309018717,4350000.0
4,1,1,2000000,8000000,6,837,5100000.0,2600000,3900000,2900000,1,14500000.0,3.999998000001,1333333.3333333333,0.6666663333335,1.8124997734375283,400000.0
2,0,0,9800000,37600000,10,641,24100000.0,0,23400000,7600000,1,55100000.0,3.836734302374051,3760000.0,0.3836734302374051,1.4654254929408113,3266666.6666666665
4,1,0,5700000,21100000,18,489,500000.0,4300000,12500000,6000000,0,23300000.0,3.701753736534432,1172222.2222222222,0.205652985363024,1.1042653505087512,1140000.0
4,1,0,8800000,20700000,18,540,19200000.0,3200000,22400000,12700000,0,57500000.0,2.3522724599690386,1150000.0,0.13068180333161325,2.777777643585621,1760000.0
4,1,0,3800000,8900000,4,844,9100000.0,3500000,13100000,4700000,1,30400000.0,2.3421046468145668,2225000.0,0.5855261617036417,3.4157299532887695,760000.0
1,1,0,1700000,6400000,10,452,900000.0,1100000,5600000,2100000,0,9700000.0,3.764703667821372,640000.0,0.3764703667821372,1.5156247631836308,850000.0
2,1,0,1000000,2000000,10,366,1200000.0,400000,3200000,1300000,0,6100000.0,1.999998000002,200000.0,0.1999998000002,3.0499984750007627,333333.3333333333
5,1,0,300000,1100000,2,300,100000.0,500000,700000,400000,1,1700000.0,3.666654444485185,550000.0,1.8333272222425925,1.545453140497145,50000.0
2,1,1,6600000,15000000,18,470,1200000.0,4800000,18200000,7000000,0,31200000.0,2.272726928374708,833333.3333333334,0.12626260713192822,2.0799998613333424,2200000.0
2,0,0,8700000,25000000,20,861,14700000.0,8500000,23200000,7300000,1,53700000.0,2.87356288809622,1250000.0,0.143678144404811,2.1479999140800032,2900000.0
4,1,0,9400000,29400000,12,562,25900000.0,15200000,36400000,7100000,1,84600000.0,3.1276592417383786,2450000.0,0.2606382701448649,2.8775509225322815,1880000.0
0,1,0,4400000,10800000,14,463,2400000.0,4800000,13800000,4700000,0,25700000.0,2.4545448966943417,771428.5714285715,0.17532463547816726,2.3796294092935733,4400000.0
4,0,0,400000,900000,12,478,700000.0,100000,1200000,100000,0,2100000.0,2.2499943750140625,75000.0,0.18749953125117189,2.3333307407436212,80000.0
2,0,1,300000,1100000,2,702,300000.0,200000,500000,200000,1,1200000.0,3.666654444485185,550000.0,1.8333272222425925,1.0909080991744553,100000.0
2,0,1,4300000,12900000,20,618,11400000.0,3600000,11400000,2400000,1,28800000.0,2.999999302325744,645000.0,0.1499999651162872,2.2325579664683746,1433333.3333333333
4,1,0,1600000,4500000,12,633,700000.0,1700000,4100000,1900000,1,8400000.0,2.8124982421885987,375000.0,0.23437485351571655,1.8666662518519441,320000.0
5,0,1,6200000,23600000,10,331,18500000.0,10300000,23800000,8700000,0,61300000.0,3.8064509989595163,2360000.0,0.38064509989595163,2.5974575170568848,1033333.3333333334
3,0,1,4200000,9700000,16,841,7800000.0,300000,16700000,5100000,1,29900000.0,2.309523259637319,606250.0,0.14434520372733245,3.0824739090233084,1050000.0
4,0,1,9000000,18100000,12,764,600000.0,16500000,20800000,11600000,1,49500000.0,2.011110887654346,1508333.3333333333,0.16759257397119548,2.7348064787399737,1800000.0
0,1,0,2700000,10600000,6,591,1300000.0,2700000,9900000,1800000,1,15700000.0,3.925924471879825,1766666.6666666667,0.6543207453133042,1.4811319357422703,2700000.0
1,1,1,9700000,35900000,2,719,19600000.0,7600000,20400000,10900000,1,58500000.0,3.701030546285511,17950000.0,1.8505152731427554,1.6295264170048351,4850000.0
2,1,0,3300000,6800000,14,317,3400000.0,300000,11700000,3600000,0,19000000.0,2.060605436180171,485714.28571428574,0.14718610258429793,2.79411723615923,1100000.0
0,0,0,300000,1100000,8,778,800000.0,200000,900000,100000,1,2000000.0,3.666654444485185,137500.0,0.4583318055606481,1.8181801652907588,300000.0
3,1,1,7400000,18200000,14,302,5600000.0,3100000,17900000,5000000,0,31600000.0,2.459459127100118,1300000.0,0.1756756519357227,1.736263640864635,1850000.0
5,0,0,7100000,19700000,8,502,7300000.0,5600000,25300000,9800000,0,48000000.0,2.7746474965285217,2462500.0,0.3468309370660652,2.436548099667609,1183333.3333333333
5,0,1,7300000,22100000,18,879,19500000.0,10600000,19300000,9800000,1,59200000.0,3.027396845562076,1227777.7777777778,0.16818871364233756,2.678732910464574,1216666.6666666667
1,0,0,8400000,23400000,14,437,15400000.0,5800000,33400000,8100000,0,62700000.0,2.785713954081672,1671428.5714285714,0.19897956814869086,2.679487064979185,4200000.0
0,0,1,3300000,10800000,12,797,600000.0,6000000,7700000,3300000,1,17600000.0,3.272726280992036,900000.0,0.27272719008266966,1.6296294787380112,3300000.0
4,0,1,5800000,23200000,18,456,16100000.0,4200000,22600000,7500000,0,50400000.0,3.9999993103449465,1288888.888888889,0.2222221839080526,2.1724136994649266,1160000.0
0,0,0,600000,1600000,6,647,1500000.0,600000,1500000,700000,1,4300000.0,2.6666622222296295,266666.6666666667,0.4444437037049383,2.6874983203135496,600000.0
0,0,0,7200000,15800000,12,379,12700000.0,12200000,21500000,3600000,0,50000000.0,2.1944441396605363,1316666.6666666667,0.18287034497171137,3.1645567617369137,7200000.0
1,0,1,9100000,32900000,2,717,2200000.0,2000000,23600000,5900000,1,33700000.0,3.6153842180896465,16450000.0,1.8076921090448232,1.0243160782882652,4550000.0
5,1,0,900000,2300000,16,545,100000.0,200000,2700000,800000,0,3800000.0,2.5555527160525378,143750.0,0.1597220447532836,1.6521731947073066,150000.0
2,1,0,800000,3200000,8,317,300000.0,1000000,2000000,900000,0,4200000.0,3.99999500000625,400000.0,0.49999937500078123,1.3124995898438783,266666.6666666667
1,0,0,8500000,32900000,10,570,5100000.0,6200000,20500000,5500000,1,37300000.0,3.8705877799308492,3290000.0,0.38705877799308497,1.1337385673635694,4250000.0
0,0,1,9000000,18700000,18,865,26800000.0,0,20900000,11300000,1,59000000.0,2.0777775469136057,1038888.8888888889,0.11543208593964477,3.1550800451828853,9000000.0
3,1,0,7000000,19500000,14,719,12200000.0,10300000,18200000,10200000,1,50900000.0,2.785713887755159,1392857.142857143,0.1989795634110828,2.610256276397114,1750000.0
3,1,0,200000,600000,16,821,400000.0,100000,500000,100000,1,1100000.0,2.9999850000749997,37500.0,0.18749906250468748,1.8333302777828704,50000.0
4,0,1,400000,800000,10,859,900000.0,500000,800000,200000,1,2400000.0,1.9999950000125,80000.0,0.19999950000125,2.9999962500046875,80000.0
3,0,0,5100000,18200000,10,395,100000.0,8000000,15500000,6300000,0,29900000.0,3.568626751249657,1820000.0,0.35686267512496567,1.642857052590272,1275000.0
2,0,1,700000,2600000,12,429,1600000.0,1300000,2700000,800000,0,6400000.0,3.7142804081708456,216666.66666666666,0.30952336734757047,2.4615375147932634,233333.33333333334
3,1,0,400000,1200000,12,861,200000.0,600000,1100000,200000,1,2100000.0,2.99999250001875,100000.0,0.2499993750015625,1.749998541667882,100000.0
0,0,1,9500000,20800000,14,565,15100000.0,11900000,33900000,13400000,1,74300000.0,2.1894734537396365,1485714.2857142857,0.1563909609814026,3.5721152128790763,9500000.0
5,1,0,8800000,22600000,10,357,7900000.0,8600000,18200000,4900000,0,39600000.0,2.5681815263430083,2260000.0,0.25681815263430086,1.7522123118490127,1466666.6666666667
3,0,1,1800000,3600000,18,465,600000.0,500000,5400000,2600000,0,9100000.0,1.9999988888895062,200000.0,0.11111104938275035,2.527777075617479,450000.0
4,0,1,6800000,13900000,8,479,11700000.0,9100000,25700000,9600000,0,56100000.0,2.0441173464533313,1737500.0,0.2555146683066664,4.035970932663962,1360000.0
3,0,0,1500000,5500000,16,717,2100000.0,800000,4400000,1300000,1,8600000.0,3.6666642222238517,343750.0,0.22916651388899073,1.5636360793388946,375000.0
3,1,0,1600000,5500000,12,425,600000.0,800000,5400000,900000,0,7700000.0,3.4374978515638426,458333.3333333333,0.2864581542969869,1.3999997454545918,400000.0
2,0,0,4600000,16700000,2,786,200000.0,5900000,13900000,6100000,1,26100000.0,3.6304339933839147,8350000.0,1.8152169966919574,1.5628741579117271,1533333.3333333333
5,0,1,2200000,6700000,6,382,4400000.0,1300000,8600000,1100000,0,15400000.0,3.045453161157654,1116666.6666666667,0.507575526859609,2.298507119625803,366666.6666666667
3,0,1,2900000,8500000,12,564,1000000.0,3100000,7500000,1800000,1,13400000.0,2.9310334720574236,708333.3333333334,0.24425278933811864,1.576470402768188,725000.0
0,1,0,200000,700000,8,501,500000.0,200000,700000,100000,0,1500000.0,3.4999825000874996,87500.0,0.43749781251093744,2.1428540816370263,200000.0
2,0,1,2500000,9400000,10,727,6600000.0,4100000,9500000,3300000,1,23500000.0,3.7599984960006014,940000.0,0.37599984960006017,2.4999997340425817,833333.3333333334
4,0,0,3600000,7500000,6,894,1100000.0,6500000,7400000,2800000,1,17800000.0,2.08333275462979,1250000.0,0.34722212577163175,2.3733330168889313,720000.0
0,1,1,5500000,16700000,18,829,5500000.0,1300000,12800000,5900000,1,25500000.0,3.036363084297621,927777.7777777778,0.1686868380165345,1.526946016350538,5500000.0
4,0,0,6600000,17400000,20,506,2600000.0,10000000,25900000,7200000,0,45700000.0,2.636363236914661,870000.0,0.13181816184573306,2.6264366306645615,1320000.0
2,1,1,8600000,32100000,6,802,9400000.0,16700000,24500000,9800000,1,60400000.0,3.732557705516546,5350000.0,0.6220929509194243,1.8816198790772622,2866666.6666666665
5,0,0,600000,1500000,14,543,300000.0,900000,2100000,300000,0,3600000.0,2.499995833340278,107142.85714285714,0.178571130952877,2.3999984000010666,100000.0
3,1,1,1400000,3200000,20,772,2400000.0,900000,5100000,1600000,1,10000000.0,2.2857126530623906,160000.0,0.11428563265311953,3.1249990234378053,350000.0
3,1,0,4000000,11100000,12,572,9700000.0,100000,12500000,2400000,1,24700000.0,2.7749993062501734,925000.0,0.23124994218751446,2.2252250247545025,1000000.0
0,0,1,4900000,11900000,16,709,14600000.0,900000,18500000,3800000,1,37800000.0,2.4285709329447074,743750.0,0.1517856833090442,3.176470321305015,4900000.0
5,1,0,2000000,6200000,18,402,4000000.0,2100000,7200000,1100000,0,14400000.0,3.099998450000775,344444.44444444444,0.17222213611115417,2.3225802705515695,333333.3333333333
1,0,1,5200000,19300000,8,481,14300000.0,9500000,18800000,4200000,0,46800000.0,3.711537747781202,2412500.0,0.46394221847265027,2.424870340680293,2600000.0
5,1,1,8900000,28800000,6,772,13600000.0,5500000,20400000,8400000,1,47900000.0,3.2359546925893605,4800000.0,0.5393257820982267,1.6631943866946393,1483333.3333333333
1,1,1,6500000,20600000,2,306,15900000.0,1900000,18100000,3200000,1,39100000.0,3.16923028165688,10300000.0,1.58461514082844,1.8980581602884388,3250000.0
2,0,0,1300000,4500000,6,415,0.0,900000,2900000,1200000,0,5000000.0,3.461535798818616,750000.0,0.5769226331364361,1.1111108641975858,433333.3333333333
3,0,0,9400000,35000000,16,548,18200000.0,4400000,36100000,4800000,0,63500000.0,3.7234038592123553,2187500.0,0.2327127412007722,1.8142856624489812,2350000.0
5,0,0,5000000,11200000,8,701,9100000.0,500000,14000000,4600000,1,28200000.0,2.2399995520000897,1400000.0,0.2799999440000112,2.5178569180484893,833333.3333333334
2,1,0,3000000,7700000,12,890,4700000.0,4300000,8400000,2100000,1,19500000.0,2.5666658111113962,641666.6666666666,0.21388881759261635,2.532467203575688,1000000.0
5,0,1,9900000,33300000,6,364,5300000.0,18700000,27800000,8300000,0,60100000.0,3.363636023875149,5550000.0,0.5606060039791915,1.804804750606464,1650000.0
5,1,1,700000,1300000,20,704,1600000.0,0,2200000,600000,1,4400000.0,1.8571402040854228,65000.0,0.09285701020427113,3.3846127810670916,116666.66666666667
3,1,1,4000000,10600000,10,318,1500000.0,5100000,8000000,4900000,0,19500000.0,2.649999337500166,1060000.0,0.26499993375001657,1.8396224679601445,1000000.0
5,0,0,3100000,9600000,2,761,5800000.0,1800000,10400000,4200000,1,22200000.0,3.096773194589292,4800000.0,1.548386597294646,2.3124997591146084,516666.6666666667
4,0,0,4500000,15100000,6,693,3700000.0,1500000,17800000,6000000,1,29000000.0,3.355554809876709,2516666.6666666665,0.5592591349794515,1.9205296741371076,900000.0
3,0,0,9700000,20600000,16,524,24200000.0,11100000,27400000,6100000,0,68800000.0,2.123711121266895,1287500.0,0.13273194507918093,3.33980566311623,2425000.0
2,0,1,2000000,5300000,10,681,4900000.0,1400000,4300000,2900000,1,13500000.0,2.6499986750006626,530000.0,0.26499986750006627,2.5471693307227676,666666.6666666666
2,1,1,8100000,22300000,18,737,22300000.0,12600000,27000000,7300000,1,69200000.0,2.7530860798659162,1238888.888888889,0.15294922665921756,3.1031388742987054,2700000.0
0,0,0,5700000,15900000,16,638,100000.0,9500000,16300000,4500000,1,30400000.0,2.789473194829264,993750.0,0.174342074676829,1.9119495652861909,5700000.0
4,0,0,5800000,12800000,2,656,500000.0,5000000,16000000,2800000,1,24300000.0,2.206896171224798,6400000.0,1.103448085612399,1.8984373516845818,1160000.0
